occupation_id,n_revealed,strategy,digits,method,prior,p@5,p@10,mrr
201,5,core_first,2,popular_group,0.06666666666666667,0.0,0.0,0.007575757575757576
201,5,core_first,2,raw_distance,0.06666666666666667,0.0,0.0,0.09090909090909091
201,5,core_first,2,raw_correlation,0.06666666666666667,0.0,0.0,0.0070921985815602835
201,5,core_first,2,mf_latent,0.06666666666666667,0.0,0.0,0.01818181818181818
201,5,core_first,2,mf_impute,0.06666666666666667,0.0,0.0,0.011494252873563218
234,5,core_first,1,random,0.12345679012345678,0.4,0.3,0.5
234,5,core_first,1,popular_group,0.12345679012345678,0.0,0.0,0.004901960784313725
234,5,core_first,1,raw_distance,0.12345679012345678,1.0,1.0,1.0
234,5,core_first,1,raw_correlation,0.12345679012345678,0.0,0.0,0.005128205128205128
234,5,core_first,1,mf_latent,0.12345679012345678,1.0,0.8,1.0
234,5,core_first,1,mf_impute,0.12345679012345678,1.0,0.8,1.0
234,5,core_first,2,random,0.0654320987654321,0.2,0.2,0.5
234,5,core_first,2,popular_group,0.0654320987654321,0.0,0.0,0.00510204081632653
234,5,core_first,2,raw_distance,0.0654320987654321,1.0,1.0,1.0
234,5,core_first,2,raw_correlation,0.0654320987654321,0.0,0.0,0.00510204081632653
234,5,core_first,2,mf_latent,0.0654320987654321,0.0,0.0,0.09090909090909091
234,5,core_first,2,mf_impute,0.0654320987654321,0.0,0.0,0.06666666666666667
280,5,core_first,1,random,0.12345679012345678,0.0,0.1,0.125
280,5,core_first,1,popular_group,0.12345679012345678,0.0,0.0,0.004901960784313725
280,5,core_first,1,raw_distance,0.12345679012345678,0.0,0.0,0.07692307692307693
280,5,core_first,1,raw_correlation,0.12345679012345678,0.0,0.1,0.16666666666666666
280,5,core_first,1,mf_latent,0.12345679012345678,0.6,0.3,1.0
280,5,core_first,1,mf_impute,0.12345679012345678,0.4,0.2,0.25
280,5,core_first,2,random,0.043209876543209874,0.0,0.1,0.125
280,5,core_first,2,popular_group,0.043209876543209874,0.0,0.0,0.004098360655737705
280,5,core_first,2,raw_distance,0.043209876543209874,0.0,0.0,0.07142857142857142
280,5,core_first,2,raw_correlation,0.043209876543209874,0.0,0.0,0.047619047619047616
280,5,core_first,2,mf_latent,0.043209876543209874,0.2,0.1,0.5
280,5,core_first,2,mf_impute,0.043209876543209874,0.0,0.0,0.07692307692307693
285,5,core_first,1,random,0.12345679012345678,0.2,0.1,0.2
285,5,core_first,1,popular_group,0.12345679012345678,0.0,0.0,0.004901960784313725
285,5,core_first,1,raw_distance,0.12345679012345678,1.0,1.0,1.0
285,5,core_first,1,raw_correlation,0.12345679012345678,1.0,1.0,1.0
285,5,core_first,1,mf_latent,0.12345679012345678,1.0,1.0,1.0
